RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Set
25,15625047,Yen,846,France,Female,38,5,0,1,Has Credit Card,Active,187616.16,Stay,Train
26,15738191,Maclean,577,France,Male,25,3,0,2,No Credit Card,Active,124508.29,Stay,Train
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,Has Credit Card,Active,170041.95,Stay,Train
28,15700772,Nebechi,571,France,Male,44,9,0,2,No Credit Card,Not Active,38433.35,Stay,Train
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,Has Credit Card,Active,100187.43,Stay,Train
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,Has Credit Card,Active,53483.21,Stay,Test
31,15589475,Azikiwe,591,Spain,Female,39,3,0,3,Has Credit Card,Not Active,140469.38,Exit,Train
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,No Credit Card,Active,156731.91,Stay,Test
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,No Credit Card,Not Active,81898.81,Stay,Train
34,15659428,Maggard,520,Spain,Female,42,6,0,2,Has Credit Card,Active,34410.55,Stay,Test
35,15732963,Clements,722,Spain,Female,29,9,0,2,Has Credit Card,Active,142033.07,Stay,Train
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,Has Credit Card,Not Active,27822.99,Exit,Test
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,No Credit Card,Active,114066.77,Stay,Test
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,No Credit Card,Active,98453.45,Stay,Test
39,15717426,Armstrong,850,France,Male,36,7,0,1,Has Credit Card,Active,40812.9,Stay,Train
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,No Credit Card,Active,178074.04,Stay,Test
41,15619360,Hsiao,472,Spain,Male,40,4,0,1,Has Credit Card,Not Active,70154.22,Stay,Train
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,No Credit Card,Not Active,181297.65,Exit,Train
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,Has Credit Card,Active,94153.83,Stay,Train
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,No Credit Card,Not Active,194365.76,Exit,Train
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,Has Credit Card,Active,158338.39,Stay,Train
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,Has Credit Card,Active,126517.46,Stay,Train
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,Has Credit Card,Active,119708.21,Exit,Train
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,Has Credit Card,Active,117622.8,Exit,Test
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,No Credit Card,Active,90878.13,Stay,Train
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,Has Credit Card,Not Active,194099.12,Stay,Train
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,Has Credit Card,Not Active,198059.16,Stay,Test
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,No Credit Card,Not Active,86424.57,Stay,Train
53,15683553,O'Brien,788,France,Female,33,5,0,2,No Credit Card,Not Active,116978.19,Stay,Train
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,No Credit Card,Not Active,164040.94,Exit,Train
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,Has Credit Card,Not Active,40014.76,Exit,Train
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,Has Credit Card,Active,113410.49,Stay,Train
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,Has Credit Card,Not Active,87107.57,Stay,Train
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,No Credit Card,Not Active,45613.75,Stay,Train
59,15623944,T'ien,511,Spain,Female,66,4,0,1,Has Credit Card,Not Active,1643.11,Exit,Test
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,Has Credit Card,Active,46775.28,Stay,Test
61,15651280,Hunter,742,Germany,Male,35,5,136857,1,No Credit Card,Not Active,84509.57,Stay,Train
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,No Credit Card,Not Active,126494.82,Stay,Train
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,No Credit Card,Not Active,178798.13,Stay,Train
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,Has Credit Card,Active,99398.36,Stay,Train
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,Has Credit Card,Active,92840.67,Stay,Train
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,Has Credit Card,Active,27758.36,Stay,Train
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,Has Credit Card,Not Active,110431.51,Stay,Train
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,Has Credit Card,Active,196673.28,Stay,Train
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,No Credit Card,Active,113656.85,Stay,Train
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,Has Credit Card,Not Active,18203,Stay,Train
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,Has Credit Card,Not Active,28373.86,Exit,Train
72,15620344,McKee,813,France,Male,29,6,0,1,Has Credit Card,Not Active,33953.87,Stay,Train
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,No Credit Card,Active,44203.55,Stay,Train
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,Has Credit Card,Active,58426.81,Stay,Train
75,15770811,Wallace,519,France,Male,36,9,0,2,No Credit Card,Active,145562.4,Stay,Train
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,Has Credit Card,Not Active,22388,Stay,Train
77,15614049,Hu,664,France,Male,55,8,0,2,Has Credit Card,Active,139161.64,Stay,Test
78,15662085,Read,678,France,Female,32,9,0,1,Has Credit Card,Active,148210.64,Stay,Train
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,No Credit Card,Active,194239.63,Stay,Train
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,Has Credit Card,Not Active,98301.61,Stay,Train
81,15706021,Buley,665,France,Female,34,1,96645.54,2,No Credit Card,Not Active,171413.66,Stay,Test
82,15663706,Leonard,777,France,Female,32,2,0,1,Has Credit Card,Not Active,136458.19,Exit,Train
83,15641732,Mills,543,France,Female,36,3,0,2,No Credit Card,Not Active,26019.59,Stay,Train
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,Has Credit Card,Active,159235.29,Stay,Train
85,15738751,Beit,493,France,Female,46,4,0,2,Has Credit Card,Not Active,1907.66,Stay,Train
86,15805254,Ndukaku,652,Spain,Female,75,10,0,2,Has Credit Card,Active,114675.75,Stay,Train
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,Has Credit Card,Not Active,128643.35,Exit,Train
88,15625759,Rowley,729,France,Male,30,9,0,2,Has Credit Card,Not Active,151869.35,Stay,Train
89,15622897,Sharpe,646,France,Female,46,4,0,3,Has Credit Card,Not Active,93251.42,Exit,Test
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,Has Credit Card,Active,156791.36,Stay,Train
91,15757535,Heap,647,Spain,Female,44,5,0,3,Has Credit Card,Active,174205.22,Exit,Train
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,Has Credit Card,Not Active,147132.46,Stay,Train
93,15809248,Cole,524,France,Female,36,10,0,2,Has Credit Card,Not Active,109614.57,Stay,Test
94,15640635,Capon,769,France,Male,29,8,0,2,Has Credit Card,Active,172290.61,Stay,Test
95,15676966,Capon,730,Spain,Male,42,4,0,2,No Credit Card,Active,85982.47,Stay,Train
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,No Credit Card,Active,121277.78,Stay,Test
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,No Credit Card,Active,64595.25,Stay,Test
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,Has Credit Card,Active,197276.13,Stay,Train
99,15604348,Allard,710,Spain,Male,22,8,0,2,No Credit Card,Not Active,99645.04,Stay,Train
100,15633059,Fanucci,413,France,Male,34,9,0,2,No Credit Card,Not Active,6534.18,Stay,Train
101,15808582,Fu,665,France,Female,40,6,0,1,Has Credit Card,Active,161848.03,Stay,Train
102,15743192,Hung,623,France,Female,44,6,0,2,No Credit Card,Not Active,167162.43,Stay,Test
103,15580146,Hung,738,France,Male,31,9,82674.15,1,Has Credit Card,Not Active,41970.72,Stay,Train
104,15776605,Bradley,528,Spain,Male,36,7,0,2,Has Credit Card,Not Active,60536.56,Stay,Test
105,15804919,Dunbabin,670,Spain,Female,65,1,0,1,Has Credit Card,Active,177655.68,Exit,Train
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,Has Credit Card,Active,30984.59,Exit,Train
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,Has Credit Card,Active,10054.53,Stay,Test
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,No Credit Card,Active,36976.52,Stay,Test
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,No Credit Card,Not Active,71862.79,Stay,Test
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,Has Credit Card,Not Active,99449.86,Exit,Train
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,No Credit Card,Active,63082.88,Stay,Train
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,Has Credit Card,Not Active,27231.26,Stay,Train
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,No Credit Card,Not Active,86797.41,Stay,Train
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,No Credit Card,Active,22994.32,Stay,Train
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,No Credit Card,Active,101300.94,Exit,Train
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,Has Credit Card,Active,74169.13,Stay,Train
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,Has Credit Card,Not Active,115638.29,Stay,Train
118,15698028,Duncan,506,France,Female,41,1,0,2,Has Credit Card,Not Active,31766.3,Stay,Train
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,Has Credit Card,Not Active,199725.39,Exit,Train
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,Has Credit Card,Not Active,120834.48,Stay,Test
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,No Credit Card,Not Active,38131.77,Stay,Train
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,No Credit Card,Not Active,100130.95,Stay,Train
123,15690673,Cameron,656,France,Female,39,6,0,2,Has Credit Card,Not Active,141069.88,Stay,Train
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,Has Credit Card,Active,198129.36,Stay,Train
125,15779659,Zetticci,625,France,Female,28,3,0,1,No Credit Card,Not Active,183646.41,Stay,Train
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,Has Credit Card,Not Active,110265.24,Exit,Train
127,15671137,MacDonald,549,France,Female,52,1,0,1,No Credit Card,Active,8636.05,Exit,Train
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,Has Credit Card,Not Active,46824.08,Exit,Train
129,15575492,Kennedy,828,France,Female,41,7,0,2,Has Credit Card,Not Active,171378.77,Stay,Train
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,Has Credit Card,Not Active,167256.35,Stay,Train
131,15740404,He,758,France,Female,34,3,0,2,Has Credit Card,Active,124226.16,Stay,Train
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,Has Credit Card,Active,114935.21,Stay,Test
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,Has Credit Card,Active,35608.88,Stay,Test
134,15642004,Alekseeva,686,France,Male,25,1,0,2,No Credit Card,Active,16459.37,Stay,Train
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,Has Credit Card,Active,124411.08,Stay,Train
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,Has Credit Card,Active,34941.23,Stay,Test
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,No Credit Card,Active,167784.28,Stay,Train
138,15610156,Ma,637,France,Male,40,2,133463.1,1,No Credit Card,Active,93165.34,Stay,Train
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,Has Credit Card,Not Active,75161.25,Exit,Train
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,No Credit Card,Active,8590.83,Exit,Train
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,Has Credit Card,Not Active,189543.9,Stay,Train
142,15724944,Tien,663,France,Male,34,7,0,2,Has Credit Card,Active,180427.24,Stay,Train
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,Has Credit Card,Active,193318.33,Stay,Train
144,15713483,Greeves,793,Spain,Male,52,2,0,1,Has Credit Card,Not Active,159123.82,Exit,Train
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,Has Credit Card,Not Active,126213.84,Exit,Test
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,Has Credit Card,Active,54141.5,Stay,Train
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,Has Credit Card,Not Active,141075.51,Stay,Train
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,No Credit Card,Not Active,24495.03,Stay,Train
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,Has Credit Card,Not Active,74836.34,Stay,Train
150,15794413,Harris,416,France,Male,32,0,0,2,No Credit Card,Active,878.87,Stay,Test
151,15650237,Morgan,754,Spain,Female,32,7,0,2,Has Credit Card,Not Active,89520.75,Stay,Train
152,15759618,Alexeeva,535,France,Female,48,9,0,1,Has Credit Card,Not Active,149892.79,Exit,Train
153,15811589,Metcalfe,716,Spain,Male,42,8,0,2,Has Credit Card,Not Active,180800.42,Stay,Train
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,Has Credit Card,Not Active,98646.22,Stay,Train
155,15709368,Milne,614,France,Female,43,6,0,2,Has Credit Card,Active,109041.53,Stay,Train
156,15679145,Chou,706,Spain,Male,57,7,0,1,Has Credit Card,Not Active,17941.16,Exit,Train
157,15655007,Li,758,France,Female,33,7,0,2,No Credit Card,Not Active,82996.47,Stay,Train
158,15623595,Clayton,586,Spain,Female,28,2,0,2,Has Credit Card,Active,92067.35,Stay,Test
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,No Credit Card,Active,104719.66,Stay,Train
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,No Credit Card,Not Active,112687.57,Stay,Train
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,No Credit Card,Active,84699.56,Stay,Train
162,15641122,Wei,684,France,Male,30,2,0,2,Has Credit Card,Not Active,83473.82,Stay,Train
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,No Credit Card,Not Active,47125.11,Stay,Train
164,15680772,Hu,721,Spain,Female,36,2,0,2,Has Credit Card,Active,106977.8,Stay,Train
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,Has Credit Card,Not Active,55582.54,Exit,Train
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,Has Credit Card,Active,139874.43,Stay,Train
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,Has Credit Card,Not Active,162503.48,Exit,Train
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,Has Credit Card,Not Active,196499.96,Stay,Train
169,15574692,Pinto,667,Spain,Female,39,2,0,2,Has Credit Card,Not Active,40721.24,Exit,Train
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,No Credit Card,Not Active,53134.3,Stay,Test
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,Has Credit Card,Not Active,164017.89,Stay,Train
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,Has Credit Card,Not Active,155996.96,Stay,Train
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,Has Credit Card,Not Active,5472.7,Exit,Train
174,15586310,Ting,578,France,Male,30,4,169462.09,1,Has Credit Card,Not Active,112187.11,Stay,Train
175,15625524,Rowe,512,France,Male,40,5,0,2,Has Credit Card,Active,146457.83,Stay,Train
176,15755209,Fu,484,Spain,Female,35,7,133868.21,1,Has Credit Card,Active,27286.1,Stay,Train
177,15645248,Ho,510,France,Female,30,0,0,2,Has Credit Card,Active,130553.47,Stay,Train
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,No Credit Card,Not Active,179351.89,Stay,Train
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,No Credit Card,Active,94774.12,Stay,Train
180,15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,Has Credit Card,Not Active,8080.85,Exit,Train
181,15716334,Rozier,850,Spain,Female,45,2,122311.21,1,Has Credit Card,Active,19482.5,Stay,Train
182,15789669,Hsia,510,France,Male,65,2,0,2,Has Credit Card,Active,48071.61,Stay,Train
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,Has Credit Card,Not Active,174531.27,Stay,Train
184,15810845,T'ang,636,France,Male,42,2,0,2,Has Credit Card,Active,55470.78,Stay,Train
185,15719377,Cocci,804,France,Female,50,4,0,1,Has Credit Card,Active,8546.87,Exit,Train
186,15654506,Chang,514,France,Male,32,8,0,2,Has Credit Card,Not Active,95857.18,Stay,Test
187,15771977,T'ao,730,France,Female,39,1,99010.67,1,Has Credit Card,Not Active,194945.8,Stay,Train
188,15708710,Ford,525,Spain,Female,37,0,0,1,No Credit Card,Active,131521.72,Stay,Train
189,15726676,Marshall,616,Spain,Male,30,5,0,2,No Credit Card,Active,196108.51,Stay,Train
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,Has Credit Card,Not Active,148564.76,Stay,Train
191,15726931,Onwumelu,715,France,Female,41,8,56214.85,2,No Credit Card,Not Active,92982.61,Exit,Train
192,15771086,Graham,512,France,Female,36,3,84327.77,2,Has Credit Card,Not Active,17675.36,Stay,Train
193,15756850,Golovanov,479,France,Male,40,1,0,2,No Credit Card,Not Active,114996.43,Stay,Train
194,15702741,Potts,601,France,Male,32,8,93012.89,1,Has Credit Card,Not Active,86957.42,Stay,Train
195,15679200,Crawford,580,Spain,Male,29,9,61710.44,2,Has Credit Card,Not Active,128077.8,Stay,Train
196,15594815,Aleshire,807,France,Male,35,3,174790.15,1,Has Credit Card,Active,600.36,Stay,Train
197,15635905,Moran,616,Spain,Female,32,6,0,2,Has Credit Card,Active,43001.46,Stay,Train
198,15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,Has Credit Card,Active,158591.12,Stay,Train
199,15656176,Jenkins,501,France,Male,57,10,0,2,Has Credit Card,Active,47847.19,Stay,Train
200,15811127,Volkov,521,France,Male,35,6,96423.84,1,Has Credit Card,Not Active,10488.44,Stay,Train
201,15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,Has Credit Card,Active,5978.2,Stay,Train
202,15622911,Jude,759,France,Male,42,4,105420.18,1,No Credit Card,Active,121409.06,Stay,Train
203,15600974,He,516,Spain,Male,50,5,0,1,No Credit Card,Active,146145.93,Exit,Train
204,15727868,Onuora,711,France,Female,38,2,129022.06,2,Has Credit Card,Active,14374.86,Exit,Train
205,15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,Has Credit Card,Not Active,94670.77,Stay,Train
206,15773039,Ku,550,France,Male,37,3,0,1,Has Credit Card,Active,179670.31,Stay,Train
207,15755262,McDonald,608,Spain,Female,41,3,89763.84,1,No Credit Card,Not Active,199304.74,Exit,Train
208,15679531,Collins,618,France,Male,34,5,134954.53,1,Has Credit Card,Active,151954.39,Stay,Train
209,15684181,Hackett,643,France,Male,45,5,0,1,Has Credit Card,Not Active,142513.5,Exit,Train
210,15612087,Dike,671,France,Male,45,2,106376.85,1,No Credit Card,Active,158264.62,Stay,Train
211,15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,Has Credit Card,Not Active,169381.9,Stay,Train
212,15624592,Tan,603,France,Male,31,8,0,2,Has Credit Card,Active,169915.02,Stay,Test
213,15573152,Glassman,620,France,Female,41,9,0,2,No Credit Card,Not Active,88852.47,Stay,Test
214,15594917,Miller,676,France,Female,34,1,63095.01,1,Has Credit Card,Active,40645.81,Stay,Train
215,15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,No Credit Card,Not Active,60427.3,Stay,Train
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,No Credit Card,Active,157959.02,Exit,Train
217,15680920,Marchesi,695,France,Male,46,7,49512.55,1,Has Credit Card,Not Active,133007.34,Stay,Train
218,15786308,Millar,730,Spain,Female,33,9,0,2,No Credit Card,Not Active,176576.62,Stay,Test
219,15659366,Shih,807,France,Male,43,1,105799.32,2,Has Credit Card,Not Active,34888.04,Exit,Train
220,15774854,Fuller,592,France,Male,54,8,0,1,Has Credit Card,Active,28737.71,Exit,Train
221,15725311,Hay,726,France,Female,31,9,114722.05,2,Has Credit Card,Active,98178.57,Stay,Train
222,15787155,Yang,514,Spain,Male,30,7,0,1,No Credit Card,Active,125010.24,Stay,Test
223,15727829,McIntyre,567,France,Male,42,2,0,2,Has Credit Card,Active,167984.61,Stay,Test
224,15733247,Stevenson,850,France,Male,33,10,0,1,Has Credit Card,Not Active,4861.72,Exit,Train
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1,Has Credit Card,Active,108872.45,Exit,Train
226,15699029,Bagley,670,France,Male,37,4,170557.91,2,Has Credit Card,Not Active,198252.88,Stay,Train
227,15774393,Ch'ien,694,France,Female,30,9,0,2,Has Credit Card,Active,26960.31,Stay,Train
228,15676895,Cattaneo,547,Germany,Female,39,6,74596.15,3,Has Credit Card,Active,85746.52,Exit,Train
229,15637753,O'Sullivan,751,Germany,Male,50,2,96888.39,1,Has Credit Card,Not Active,77206.25,Exit,Train
230,15605461,Lucas,594,Germany,Female,29,3,130830.22,1,Has Credit Card,Not Active,61048.53,Stay,Train
231,15808473,Ringrose,673,France,Male,72,1,0,2,No Credit Card,Active,111981.19,Stay,Train
232,15627000,Freeman,610,France,Male,40,0,0,2,Has Credit Card,Not Active,62232.6,Stay,Train
233,15787174,Sergeyev,512,France,Female,37,1,0,2,No Credit Card,Active,156105.03,Stay,Train
234,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,No Credit Card,Active,150135.38,Stay,Test
235,15704769,Smith,585,France,Female,67,5,113978.97,2,No Credit Card,Active,93146.11,Stay,Train
236,15772896,Dumetochukwu,763,Germany,Male,42,6,100160.75,1,Has Credit Card,Not Active,33462.94,Exit,Train
237,15711540,Pacheco,712,France,Female,29,2,0,1,Has Credit Card,Active,144375,Stay,Train
238,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,Has Credit Card,Not Active,55803.96,Exit,Train
239,15794056,Johnston,668,France,Female,46,2,0,3,Has Credit Card,Not Active,89048.46,Exit,Train
240,15795149,Stevens,703,France,Male,28,2,81173.83,2,No Credit Card,Active,162812.16,Stay,Test
241,15812009,Grant,662,Spain,Male,38,4,0,2,Has Credit Card,Not Active,136259.65,Stay,Train
242,15651001,Tsao,725,Germany,Female,39,5,116803.8,1,Has Credit Card,Not Active,124052.97,Stay,Train
243,15813844,Barnes,703,France,Male,37,8,105961.68,2,No Credit Card,Active,74158.8,Stay,Train
244,15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,Has Credit Card,Active,45071.09,Exit,Train
245,15576269,Madison,523,Spain,Male,34,7,0,2,Has Credit Card,Not Active,62030.06,Stay,Train
246,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,Has Credit Card,Not Active,131953.23,Exit,Test
247,15685500,Glazkov,772,Germany,Male,26,7,152400.51,2,Has Credit Card,Not Active,79414,Stay,Train
248,15599792,Dimauro,545,France,Female,26,1,0,2,Has Credit Card,Active,199638.56,Stay,Train
249,15657566,Wieck,634,Germany,Male,24,8,103097.85,1,Has Credit Card,Active,157577.29,Stay,Test
250,15772423,Liao,739,Germany,Male,54,8,126418.14,1,Has Credit Card,Not Active,134420.75,Exit,Train
251,15628112,Hughes,771,Germany,Female,36,5,77846.9,1,No Credit Card,Not Active,99805.99,Stay,Train
252,15753754,Morrison,587,Spain,Female,34,1,0,2,Has Credit Card,Active,97932.68,Stay,Test
253,15793726,Matveyeva,681,France,Female,79,0,0,2,No Credit Card,Active,170968.99,Stay,Test
254,15694717,Ku,544,Germany,Male,37,2,79731.91,1,Has Credit Card,Active,57558.95,Stay,Train
255,15665834,Cheatham,696,Spain,Male,28,8,0,1,No Credit Card,Not Active,176713.47,Stay,Train
256,15765297,Yao,766,Spain,Male,41,0,0,2,No Credit Card,Active,34283.23,Stay,Train
257,15636684,Kirkland,727,France,Male,34,10,0,2,Has Credit Card,Active,198637.34,Stay,Train
258,15592979,Rose,671,Germany,Female,34,6,37266.67,2,No Credit Card,Not Active,156917.12,Stay,Train
259,15750803,Jess,693,France,Female,30,6,127992.25,1,Has Credit Card,Active,50457.2,Stay,Train
260,15607178,Welch,850,Germany,Male,38,3,54901.01,1,Has Credit Card,Active,140075.55,Stay,Test
261,15713853,Ifeajuna,732,Germany,Male,42,9,108748.08,2,Has Credit Card,Active,65323.11,Stay,Train
262,15673481,Morton,726,Spain,Female,48,6,99906.19,1,Has Credit Card,Not Active,64323.24,Stay,Train
